Indicator,Country,Year,Tax (% of GDP
Taxes on Transport (excluding fuel for transport),Austria,2011,0.9
Taxes on Transport (excluding fuel for transport),Austria,2012,0.92
Taxes on Transport (excluding fuel for transport),Austria,2013,0.92
Taxes on Transport (excluding fuel for transport),Austria,2014,0.99
Taxes on Transport (excluding fuel for transport),Austria,2015,0.98
Taxes on Transport (excluding fuel for transport),Austria,2016,0.98
Taxes on Transport (excluding fuel for transport),Austria,2017,1
Taxes on Transport (excluding fuel for transport),Austria,2018,0.99
Taxes on Transport (excluding fuel for transport),Austria,2019,0.86
Taxes on Transport (excluding fuel for transport),Austria,2020,0.87
Environmental Taxes,"Bahamas, The",1995,1.9
Environmental Taxes,"Bahamas, The",1996,1.71
Environmental Taxes,"Bahamas, The",1997,1
Environmental Taxes,"Bahamas, The",1998,1
Environmental Taxes,"Bahamas, The",1999,0.94
Environmental Taxes,"Bahamas, The",2000,0.96
Environmental Taxes,"Bahamas, The",2001,0.93
Environmental Taxes,"Bahamas, The",2002,0.9
Environmental Taxes,"Bahamas, The",2003,0.88
Environmental Taxes,"Bahamas, The",2004,0.96
Environmental Taxes,"Bahamas, The",2005,0.89
Environmental Taxes,"Bahamas, The",2006,0.95
Environmental Taxes,"Bahamas, The",2007,0.92
Environmental Taxes,"Bahamas, The",2008,0.93
Environmental Taxes,"Bahamas, The",2009,0.93
Environmental Taxes,"Bahamas, The",2010,0.9
Environmental Taxes,"Bahamas, The",2011,1.3
Environmental Taxes,"Bahamas, The",2012,1.22
Environmental Taxes,"Bahamas, The",2013,1.64
Environmental Taxes,"Bahamas, The",2014,1.38
Environmental Taxes,"Bahamas, The",2015,1.48
Environmental Taxes,"Bahamas, The",2016,1.38
Environmental Taxes,"Bahamas, The",2017,1.34
Environmental Taxes,"Bahamas, The",2018,1.41
Environmental Taxes,"Bahamas, The",2019,1.4
Environmental Taxes,"Bahamas, The",2020,1.58
Taxes on Energy (including fuel for transport),"Bahamas, The",1995,0
Taxes on Energy (including fuel for transport),"Bahamas, The",1996,0
Taxes on Energy (including fuel for transport),"Bahamas, The",1997,0
Taxes on Energy (including fuel for transport),"Bahamas, The",1998,0
Taxes on Energy (including fuel for transport),"Bahamas, The",1999,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2000,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2001,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2002,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2003,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2004,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2005,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2006,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2007,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2008,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2009,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2010,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2011,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2012,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2013,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2014,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2015,0
Taxes on Energy (including fuel for transport),"Bahamas, The",2016,0.01
Taxes on Energy (including fuel for transport),"Bahamas, The",2017,0.01
Taxes on Energy (including fuel for transport),"Bahamas, The",2018,0.01
Taxes on Energy (including fuel for transport),"Bahamas, The",2019,0.01
Taxes on Energy (including fuel for transport),"Bahamas, The",2020,0.01
Taxes on Pollution,"Bahamas, The",1995,0
Taxes on Pollution,"Bahamas, The",1996,0
Taxes on Pollution,"Bahamas, The",1997,0
Taxes on Pollution,"Bahamas, The",1998,0
Taxes on Pollution,"Bahamas, The",1999,0
Taxes on Pollution,"Bahamas, The",2000,0
Taxes on Pollution,"Bahamas, The",2001,0
Taxes on Pollution,"Bahamas, The",2002,0
Taxes on Pollution,"Bahamas, The",2003,0
Taxes on Pollution,"Bahamas, The",2004,0
Taxes on Pollution,"Bahamas, The",2005,0
Taxes on Pollution,"Bahamas, The",2006,0
Taxes on Pollution,"Bahamas, The",2007,0
Taxes on Pollution,"Bahamas, The",2008,0
Taxes on Pollution,"Bahamas, The",2009,0
Taxes on Pollution,"Bahamas, The",2010,0
Taxes on Pollution,"Bahamas, The",2011,0
Taxes on Pollution,"Bahamas, The",2012,0
Taxes on Pollution,"Bahamas, The",2013,0
Taxes on Pollution,"Bahamas, The",2014,0
Taxes on Pollution,"Bahamas, The",2015,0
Taxes on Pollution,"Bahamas, The",2016,0
Taxes on Pollution,"Bahamas, The",2017,0
Taxes on Pollution,"Bahamas, The",2018,0
Taxes on Pollution,"Bahamas, The",2019,0
Taxes on Pollution,"Bahamas, The",2020,0
Taxes on Resources,"Bahamas, The",1995,0
Taxes on Resources,"Bahamas, The",1996,0
Taxes on Resources,"Bahamas, The",1997,0
Taxes on Resources,"Bahamas, The",1998,0
Taxes on Resources,"Bahamas, The",1999,0
Taxes on Resources,"Bahamas, The",2000,0
Taxes on Resources,"Bahamas, The",2001,0
Taxes on Resources,"Bahamas, The",2002,0
Taxes on Resources,"Bahamas, The",2003,0
Taxes on Resources,"Bahamas, The",2004,0
Taxes on Resources,"Bahamas, The",2005,0
Taxes on Resources,"Bahamas, The",2006,0
Taxes on Resources,"Bahamas, The",2007,0
Taxes on Resources,"Bahamas, The",2008,0
Taxes on Resources,"Bahamas, The",2009,0
Taxes on Resources,"Bahamas, The",2010,0
Taxes on Resources,"Bahamas, The",2011,0
Taxes on Resources,"Bahamas, The",2012,0
Taxes on Resources,"Bahamas, The",2013,0
Taxes on Resources,"Bahamas, The",2014,0
Taxes on Resources,"Bahamas, The",2015,0
Taxes on Resources,"Bahamas, The",2016,0
Taxes on Resources,"Bahamas, The",2017,0
Taxes on Resources,"Bahamas, The",2018,0
Taxes on Resources,"Bahamas, The",2019,0
Taxes on Resources,"Bahamas, The",2020,0
Taxes on Transport (excluding fuel for transport),"Bahamas, The",1995,1.9
Taxes on Transport (excluding fuel for transport),"Bahamas, The",1996,1.71
Taxes on Transport (excluding fuel for transport),"Bahamas, The",1997,1
Taxes on Transport (excluding fuel for transport),"Bahamas, The",1998,1
Taxes on Transport (excluding fuel for transport),"Bahamas, The",1999,0.94
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2000,0.96
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2001,0.93
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2002,0.9
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2003,0.88
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2004,0.96
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2005,0.89
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2006,0.95
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2007,0.92
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2008,0.93
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2009,0.93
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2010,0.9
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2011,1.3
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2012,1.22
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2013,1.64
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2014,1.38
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2015,1.48
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2016,1.36
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2017,1.33
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2018,1.4
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2019,1.39
Taxes on Transport (excluding fuel for transport),"Bahamas, The",2020,1.57
Environmental Taxes,Bangladesh,2006,0.07
Environmental Taxes,Bangladesh,2007,0.08
Environmental Taxes,Bangladesh,2008,0.07
Environmental Taxes,Bangladesh,2009,0.05
Environmental Taxes,Bangladesh,2010,0.05
Environmental Taxes,Bangladesh,2011,0.05
Environmental Taxes,Bangladesh,2012,0.06
Environmental Taxes,Bangladesh,2013,0.05
Environmental Taxes,Bangladesh,2014,0.06
Environmental Taxes,Bangladesh,2015,0.07
Environmental Taxes,Bangladesh,2016,0.06
Environmental Taxes,Bangladesh,2017,0.1
Environmental Taxes,Bangladesh,2018,0.05
Environmental Taxes,Bangladesh,2019,0.04
Environmental Taxes,Bangladesh,2020,0.01
Taxes on Energy (including fuel for transport),Bangladesh,1995,0
Taxes on Energy (including fuel for transport),Bangladesh,1996,0
Taxes on Energy (including fuel for transport),Bangladesh,1997,0
Taxes on Energy (including fuel for transport),Bangladesh,1998,0
Taxes on Energy (including fuel for transport),Bangladesh,1999,0
Taxes on Energy (including fuel for transport),Bangladesh,2000,0
Taxes on Energy (including fuel for transport),Bangladesh,2001,0
Taxes on Energy (including fuel for transport),Bangladesh,2002,0
Taxes on Energy (including fuel for transport),Bangladesh,2003,0
Taxes on Energy (including fuel for transport),Bangladesh,2004,0
Taxes on Energy (including fuel for transport),Bangladesh,2005,0
Taxes on Energy (including fuel for transport),Bangladesh,2006,0
Taxes on Energy (including fuel for transport),Bangladesh,2007,0
Taxes on Energy (including fuel for transport),Bangladesh,2008,0
Taxes on Energy (including fuel for transport),Bangladesh,2009,0
Taxes on Energy (including fuel for transport),Bangladesh,2010,0
Taxes on Energy (including fuel for transport),Bangladesh,2011,0
Taxes on Energy (including fuel for transport),Bangladesh,2012,0
Taxes on Energy (including fuel for transport),Bangladesh,2013,0
Taxes on Energy (including fuel for transport),Bangladesh,2014,0
Taxes on Energy (including fuel for transport),Bangladesh,2015,0
Taxes on Energy (including fuel for transport),Bangladesh,2016,0
Taxes on Energy (including fuel for transport),Bangladesh,2017,0
Taxes on Energy (including fuel for transport),Bangladesh,2018,0
Taxes on Energy (including fuel for transport),Bangladesh,2019,0
Taxes on Energy (including fuel for transport),Bangladesh,2020,0
Taxes on Pollution,Bangladesh,1995,0
Taxes on Pollution,Bangladesh,1996,0
Taxes on Pollution,Bangladesh,1997,0
Taxes on Pollution,Bangladesh,1998,0
Taxes on Pollution,Bangladesh,1999,0
Taxes on Pollution,Bangladesh,2000,0
Taxes on Pollution,Bangladesh,2001,0
Taxes on Pollution,Bangladesh,2002,0
Taxes on Pollution,Bangladesh,2003,0
Taxes on Pollution,Bangladesh,2004,0
Taxes on Pollution,Bangladesh,2005,0
Taxes on Pollution,Bangladesh,2006,0
Taxes on Pollution,Bangladesh,2007,0
Taxes on Pollution,Bangladesh,2008,0
Taxes on Pollution,Bangladesh,2009,0
Taxes on Pollution,Bangladesh,2010,0
Taxes on Pollution,Bangladesh,2011,0
Taxes on Pollution,Bangladesh,2012,0
Taxes on Pollution,Bangladesh,2013,0
Taxes on Pollution,Bangladesh,2014,0
Taxes on Pollution,Bangladesh,2015,0
Taxes on Pollution,Bangladesh,2016,0
Taxes on Pollution,Bangladesh,2017,0
Taxes on Pollution,Bangladesh,2018,0
Taxes on Pollution,Bangladesh,2019,0
Taxes on Pollution,Bangladesh,2020,0
Taxes on Resources,Bangladesh,1995,0
Taxes on Resources,Bangladesh,1996,0
Taxes on Resources,Bangladesh,1997,0
Taxes on Resources,Bangladesh,1998,0
Taxes on Resources,Bangladesh,1999,0
Taxes on Resources,Bangladesh,2000,0
Taxes on Resources,Bangladesh,2001,0
Taxes on Resources,Bangladesh,2002,0
Taxes on Resources,Bangladesh,2003,0
Taxes on Resources,Bangladesh,2004,0
Taxes on Resources,Bangladesh,2005,0
Taxes on Resources,Bangladesh,2006,0
Taxes on Resources,Bangladesh,2007,0
Taxes on Resources,Bangladesh,2008,0
Taxes on Resources,Bangladesh,2009,0
Taxes on Resources,Bangladesh,2010,0
Taxes on Resources,Bangladesh,2011,0
Taxes on Resources,Bangladesh,2012,0
Taxes on Resources,Bangladesh,2013,0
Taxes on Resources,Bangladesh,2014,0
Taxes on Resources,Bangladesh,2015,0
Taxes on Resources,Bangladesh,2016,0
Taxes on Resources,Bangladesh,2017,0
Taxes on Resources,Bangladesh,2018,0
Taxes on Resources,Bangladesh,2019,0
Taxes on Resources,Bangladesh,2020,0
Taxes on Transport (excluding fuel for transport),Bangladesh,2006,0.07
Taxes on Transport (excluding fuel for transport),Bangladesh,2007,0.08
Taxes on Transport (excluding fuel for transport),Bangladesh,2008,0.07
Taxes on Transport (excluding fuel for transport),Bangladesh,2009,0.05
Taxes on Transport (excluding fuel for transport),Bangladesh,2010,0.05
Taxes on Transport (excluding fuel for transport),Bangladesh,2011,0.05
Taxes on Transport (excluding fuel for transport),Bangladesh,2012,0.06
Taxes on Transport (excluding fuel for transport),Bangladesh,2013,0.05
Taxes on Transport (excluding fuel for transport),Bangladesh,2014,0.06
Taxes on Transport (excluding fuel for transport),Bangladesh,2015,0.07
Taxes on Transport (excluding fuel for transport),Bangladesh,2016,0.06
Taxes on Transport (excluding fuel for transport),Bangladesh,2017,0.1
Taxes on Transport (excluding fuel for transport),Bangladesh,2018,0.05
Taxes on Transport (excluding fuel for transport),Bangladesh,2019,0.04
Taxes on Transport (excluding fuel for transport),Bangladesh,2020,0.01
Environmental Taxes,Belgium,1995,2.52
Environmental Taxes,Belgium,1996,2.81
Environmental Taxes,Belgium,1997,2.83
Environmental Taxes,Belgium,1998,2.75
Environmental Taxes,Belgium,1999,2.74
Environmental Taxes,Belgium,2000,2.54
Environmental Taxes,Belgium,2001,2.53
Environmental Taxes,Belgium,2002,2.47
Environmental Taxes,Belgium,2003,2.51
Environmental Taxes,Belgium,2004,2.59
Environmental Taxes,Belgium,2005,2.53
Environmental Taxes,Belgium,2006,2.28
Environmental Taxes,Belgium,2007,2.22
Environmental Taxes,Belgium,2008,2.15
Environmental Taxes,Belgium,2009,2.23
Environmental Taxes,Belgium,2010,2.26
Environmental Taxes,Belgium,2011,2.3
Environmental Taxes,Belgium,2012,2.18
Environmental Taxes,Belgium,2013,2.1
Environmental Taxes,Belgium,2014,2.1
Environmental Taxes,Belgium,2015,2.1
Environmental Taxes,Belgium,2016,2.19
Environmental Taxes,Belgium,2017,2.25
Environmental Taxes,Belgium,2018,2.23
Environmental Taxes,Belgium,2019,2.14
Environmental Taxes,Belgium,2020,2.01
Taxes on Energy (including fuel for transport),Belgium,1995,1.5
Taxes on Energy (including fuel for transport),Belgium,1996,1.57
Taxes on Energy (including fuel for transport),Belgium,1997,1.56
Taxes on Energy (including fuel for transport),Belgium,1998,1.54
Taxes on Energy (including fuel for transport),Belgium,1999,1.49
Taxes on Energy (including fuel for transport),Belgium,2000,1.41
Taxes on Energy (including fuel for transport),Belgium,2001,1.37
Taxes on Energy (including fuel for transport),Belgium,2002,1.34
Taxes on Energy (including fuel for transport),Belgium,2003,1.38
Taxes on Energy (including fuel for transport),Belgium,2004,1.45
Taxes on Energy (including fuel for transport),Belgium,2005,1.44
Taxes on Energy (including fuel for transport),Belgium,2006,1.3
Taxes on Energy (including fuel for transport),Belgium,2007,1.29
Taxes on Energy (including fuel for transport),Belgium,2008,1.24
Taxes on Energy (including fuel for transport),Belgium,2009,1.29
Taxes on Energy (including fuel for transport),Belgium,2010,1.34
Taxes on Energy (including fuel for transport),Belgium,2011,1.36
Taxes on Energy (including fuel for transport),Belgium,2012,1.3
Taxes on Energy (including fuel for transport),Belgium,2013,1.21
Taxes on Energy (including fuel for transport),Belgium,2014,1.25
Taxes on Energy (including fuel for transport),Belgium,2015,1.27
Taxes on Energy (including fuel for transport),Belgium,2016,1.39
